대분류,소분류,공연/행사명,장소,이용대상,이용요금,대표이미지,시작일,종료일,위도,경도,유무료,문화포털상세URL
전시/미술,,K-핸드메이드페어 2025,서울 삼성동 코엑스 1층  B홀,누구나,"사전 예매가: 8,000원, 현장 구매가: 10,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=42afe00583eb4b0983dba37a04a41222&thumb=Y,2025-12-18 0:00,2025-12-21 0:00,37.51182391,127.059159,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152033&menuNo=200009
공연예술,클래식,[마포문화재단] M 아티스트 2025 바리톤 박주성 리사이틀 Ⅱ,마포아트센터 아트홀맥,8세이상 관람가능(미취학아동입장불가),"R석 40,000원, S석 25,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4561e62e2eca40e49c603db1855b06a4&thumb=Y,2025-12-06 0:00,2025-12-06 0:00,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153461&menuNo=200008
축제/행사,문화/예술,2025 금천하모니축제,"금천구청광장, 안양천다목적광장, 금천구 전역",누구나,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=520ec510b1db4ca6976e8f87402fd6d1&thumb=Y,2025-10-18 0:00,2025-10-19 0:00,37.45706565,126.8960369,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152953&menuNo=200010
축제/행사,문화/예술,2025 서울라이트 한강 빛섬축제,뚝섬 한강공원,누구나,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b13d2032bec441088ab18e1f0164eaa6&thumb=Y,2025-10-03 0:00,2025-10-12 0:00,37.52936457,127.0739782,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153245&menuNo=200010
공연예술,콘서트,[동대문문화재단] 기획공연 [와인et멜로디(9월)] Vol.4 난아진,선농단역사문화관 지하3층 문화중정,만19세 이상,"30,000원(구민 15,000원)",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c3dd6f603bd44936b7f596ba482792ef&thumb=Y,2025-09-26 0:00,2025-09-26 0:00,37.58118377,127.0318885,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153684&menuNo=200008
축제/행사,문화/예술,[광진문화재단] 제4회 2025 나루 스트릿 댄스 페스티벌,나루아트센터 야외광장,전체관람,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a3ab97a289ab44eba250ef33e4314175&thumb=Y,2025-09-20 0:00,2025-09-20 0:00,37.53757063,127.070576,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152983&menuNo=200010
전시/미술,,세계우표전시회 필라코리아2025,코엑스마곡 전시장,누구나,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=44a576c038f14cd5bb1f7ee838e737c7&thumb=Y,2025-09-17 0:00,2025-09-21 0:00,37.56477507,126.8252529,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152727&menuNo=200009
공연예술,클래식,[영등포문화재단] 마티네콘서트 #3. 파블로 피카소,영등포아트홀,초등학생(2018년 생) 이상,"전석 15,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2914e05bd2144d89b4ab334121a5e0ff&thumb=Y,2025-08-21 0:00,2025-08-21 0:00,37.52600873,126.9001093,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153697&menuNo=200008
전시/미술,,2025 핸드아티코리아,코엑스전시장 C홀,누구나,"일반 (2006년생 이상): 12,000 / 청소년 (2018 - 07년생): 6,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=39c8b53e2d9e4eac963dc0497f57afed&thumb=Y,2025-08-07 0:00,2025-08-10 0:00,37.51182391,127.059159,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=152682&menuNo=200009
전시/미술,,서울일러스트레이션페어 V.19,코엑스 C홀,누구나,"성인: 15,000원 / 청소년 : 9,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1d206651883046d382fdde994dc9313b&thumb=Y,2025-07-24 0:00,2025-07-27 0:00,37.51182391,127.059159,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153085&menuNo=200009
공연예술,뮤지컬/오페라,[노원문화재단] EBS 뮤지컬 [이벤져스 라이브],노원문화예술회관 대공연장,24개월 이상,"R석 77,000원, S석 55,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e987a06e59fc4db68e70f110377af018&thumb=Y,2025-07-19 0:00,2025-07-19 0:00,37.65023685,127.0802671,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153661&menuNo=200008
공연예술,연극,[구로문화재단] 연극 [덜미],구로아트밸리 예술극장,중학생 이상 관람,"전석 20,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=45a83cec35d149e6a8e2cfb6c15b0ce8&thumb=Y,2025-07-18 0:00,2025-07-19 0:00,37.49662515,126.890315,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153637&menuNo=200008
교육/체험,,[서울백제어린이박물관] 유아ㆍ어린이와 양육자 대상 [서울역사생태탐험대2] 시장놀이,"서울백제어린이박물관 전시실, 교육실(다목적실) 등",6세 유아~초등 1학년 어린이와 양육자,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f02ebb9859c84133aa22a8a5e2e89154&thumb=Y,2025-07-12 0:00,2025-07-10 0:00,37.523991,127.124412,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153552&menuNo=200011
공연예술,연극,[노원문화재단] 2025 노원어린이극장 공동기획 공연 매직 드로잉 가족극 [폴리팝],노원어린이극장,24개월 이상,"전석 60,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2e161e349b0a4fb6943f6a8b5f20c48a&thumb=Y,2025-07-11 0:00,2025-08-03 0:00,37.65445005,127.0636923,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153681&menuNo=200008
기타,,[금천문화재단] 아트앤테크 [루멘스],금나래아트홀,초등학생 이상,"전석 20,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eeff7405bf8a48e4b3818fe4e145b3bf&thumb=Y,2025-07-11 0:00,2025-07-12 0:00,37.45657851,126.8959725,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153660&menuNo=200013
공연예술,뮤지컬/오페라,[마포문화재단] 2025 마포문화재단 가족ㆍ어린이 축제 [해피 썸머 와글와글] 달님이 주신 아이,마포아트센터 플레이맥,36개월 이상 관람가,"전석 35,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=20490e43154042b6a34d141abb497c90&thumb=Y,2025-07-05 0:00,2025-07-20 0:00,37.54990609,126.9455338,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153597&menuNo=200008
공연예술,클래식,[세종문화회관] 2025 꿈나무 토요음악회 - 춤추는 클래식,세종체임버홀,2020년생 이상(2020년생 포함),"전석 30,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4bd1025ab1da449aa27f5ec70c02121d&thumb=Y,2025-07-05 0:00,2025-07-05 0:00,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153646&menuNo=200008
교육/체험,,[서울문화재단] 2025 PLAY-UP 아카데미 모집 [극작수업 - 희곡창작워크숍 강사 김은성],서울연극창작센터 (서울시 성북구 성북로 8),만 40세 이하의 극작가,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6f1db3beeef8435baf23603555383af9&thumb=Y,2025-07-03 0:00,2025-10-16 0:00,37.58921794,127.0060408,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153588&menuNo=200011
공연예술,클래식,[전문연주자시리즈] 강동엽 비올라 독주회,영산아트홀,초등학생 이상 관람가,"전석 30,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f3b83d9ecdfe4cc2bd7e516054800d8d&thumb=Y,2025-06-30 0:00,2025-06-30 0:00,37.52927196,126.9248927,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153510&menuNo=200008
공연예술,독주/독창회,정진우 바이올린 독주회 ,금호아트홀 연세 ,미취학 입장 불가 ,"전석 20,000원 (학생 50%할인)",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dee5cb007cd14a279d9f98906c04b2b5&thumb=Y,2025-06-29 0:00,2025-06-29 0:00,37.56605084,126.9439162,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153352&menuNo=200008
공연예술,클래식,[성북문화재단] 클래식라운지 [테너 존노 가곡 리사이틀],"꿈빛극장 (서울 성북구 길음로 7길 20, 서울성북미디어문화마루 4층)",8세이상 관람가능,"전석 40,000원 (성북구민 할인 20%)",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=00d0c17434ad403e96ec89e53afbdc00&thumb=Y,2025-06-28 0:00,2025-06-28 0:00,37.60375521,127.0222037,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153687&menuNo=200008
공연예술,클래식,"[양천문화재단] 반도네온, 탱고의 밤 - 아스토르 피아졸라의 세계",양천문화회관 별관,정보없음,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0e106d4593bf438fbe57265e767691e0&thumb=Y,2025-06-28 0:00,2025-06-28 0:00,37.51652093,126.86334,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153690&menuNo=200008
공연예술,무용,[영등포문화재단] 가족극장 해설이 있는 발레 [백조의 호수],영등포아트홀,초등학생(2018년 생) 이상,"전석 20,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=932080d3557c4dbc94bb467e3d7f6448&thumb=Y,2025-06-28 0:00,2025-06-28 0:00,37.52600873,126.9001093,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153696&menuNo=200008
공연예술,뮤지컬/오페라,[구로문화재단] 키즈오페라 [소리마녀의 비밀상자],오류아트홀,48개월 이상,"전석 20,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2763982e5e3442f2ae47867c0ba0d2d6&thumb=Y,2025-06-28 0:00,2025-06-28 0:00,37.49535812,126.8460358,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153634&menuNo=200008
공연예술,클래식,[동대문문화재단] 2025 기획공연 와인et멜로디 vol.3 김유진,선농단역사문화관 문화중정,성인,"전석 30,000원(동대문구민 50% 할인)",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fd03730b20c74667b68b5cb5cf1a7961&thumb=Y,2025-06-27 0:00,2025-06-27 0:00,37.58118377,127.0318885,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153506&menuNo=200008
기타,,[강동문화재단] 한밤의 공연 산책 Ⅱ: 요상한 도시의 고양이들,강동아트센터 대극장 한강,36개월 이상,"R석 20,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9ad846e45662412dafabc31ab17f5c7e&thumb=Y,2025-06-27 0:00,2025-06-27 0:00,37.55122046,127.1573425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153700&menuNo=200013
교육/체험,,[중랑구립정보도서관] 중랑 이음:인문학 6월 이낙준의사 [대한민국 의학의 역사],중랑구립정보도서관 4층 강당,서울시민 누구나,"5,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e2bb7150407946f9ab2d96ee5af1306a&thumb=Y,2025-06-27 0:00,2025-06-27 0:00,37.61517057,127.0869064,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153089&menuNo=200011
공연예술,클래식,카이로스 앙상블 제3회 정기연주회,세종문화회관 체임버홀 ,초등학생 이상,"일반석 20,000원(학생 10,000원)",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=562b643f372e4feba7e2767a51a90b4e&thumb=Y,2025-06-27 0:00,2025-06-27 0:00,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153391&menuNo=200008
공연예술,연극,[서울생활문화센터 서교] 소셜드라마클럽 입체낭독극 [콘센트],서교스퀘어 (서울 마포구 서교동 494),누구나,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e243d48c2f0a4491ba4454485e568f94&thumb=Y,2025-06-27 0:00,2025-06-27 0:00,37.55081382,126.916494,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153472&menuNo=200008
공연예술,클래식,[서초문화재단] 서리풀 아트 프론티어 시리즈 [타임리스 기타],심산기념문화센터 반포심산아트홀,초등학생 이상,R석 2만원 S석 1만5천원,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=41df4e0d325443fda4e937333e6397b6&thumb=Y,2025-06-26 0:00,2025-06-26 0:00,37.49883446,126.9912425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153655&menuNo=200008
공연예술,클래식,[서초문화재단] 서리풀 고음악 오디세이 [중세와 르네상스 시대 댄스음악],심산기념문화센터 반포심산아트홀,초등학생 이상,R석 2만원 S석 1만5천원,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1ca16d982ba5462eac2d0a41d5c74a3a&thumb=Y,2025-06-25 0:00,2025-06-25 0:00,37.49883446,126.9912425,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153654&menuNo=200008
공연예술,독주/독창회,김정현 플루트 독주회 ,세종문화회관 체임버홀,초등학생 이상,"전석 20,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5be2049727744e14a4e7c0c4ab2acc65&thumb=Y,2025-06-25 0:00,2025-06-25 0:00,37.5726241,126.9760053,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153310&menuNo=200008
공연예술,영화,[성동문화재단] 2025 성동 필름 페스타 [세계 영화 상영회 5회차],성수아트홀,누구나,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6069f53adf8b474a9a0b36c34d036479&thumb=Y,2025-06-25 0:00,2025-06-25 0:00,37.54542883,127.0469481,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153665&menuNo=200013
공연예술,무용,[구로문화재단] 이원국 발레단 [6월의 발레] ,구로아트밸리 예술극장,7세이상 관람가,"전석 10,000원",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=21102eeb06b84417bc0261ec3fcb8921&thumb=Y,2025-06-24 0:00,2025-06-24 0:00,37.49662515,126.890315,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153636&menuNo=200008
공연예술,클래식,"[서울문화예술교육센터 서초] 주워 담는 클래식 [재즈로 더 풍부해진, 스윙잉]",서울문화예술교육센터 서초 5층 서울체임버홀,만 7세 이상 / 총 240명,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1b410b0de8864c729cf34a6e7f3d93ca&thumb=Y,2025-06-23 0:00,2025-06-23 0:00,37.50471771,126.9983081,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=153579&menuNo=200008
